Unnamed: 0,Name,Opening,Closing,Volume,Date,Opening_Price,Closing_Price,Volume_Traded
,25.0,,,,10-29-2023,24.7,24.7,0.0
,26.0,,,,10-29-2023,300.05,300.05,0.0
,27.0,,,,10-29-2023,150.168,145.9316,1914700.0
,28.0,,,,10-29-2023,611.5,611.5,0.0
,29.0,,,,10-29-2023,133.3585,135.0,1000.0
,30.0,,,,10-29-2023,690.0,690.0,0.0
,31.0,,,,10-29-2023,740.0,841.0,6300.0
,32.0,,,,10-29-2023,4.9817,4.9758,44300.0
,33.0,,,,10-29-2023,950.0101,950.0101,0.0
,34.0,,,,10-29-2023,35.0,35.0,15500.0
,35.0,,,,10-29-2023,517.9,517.9,0.0
,36.0,,,,10-29-2023,25.5,25.5,4100.0
,37.0,,,,10-29-2023,258.0,258.0,0.0
,38.0,,,,10-29-2023,18.0,20.7,3000.0
,39.0,,,,10-29-2023,790.0,850.0,300.0
,40.0,,,,10-29-2023,0.0331,0.0331,0.0
,41.0,,,,10-29-2023,16.65,16.65,0.0
,42.0,,,,10-29-2023,106.6667,100.0,11400.0
,1.0,,,,10-30-2023,1739.35,1739.35,0.0
,2.0,,,,10-30-2023,48.0,48.0,0.0
,3.0,,,,10-30-2023,30.3615,30.4,19800.0
,4.0,,,,10-30-2023,16.5909,16.5909,0.0
,5.0,,,,10-30-2023,33.65,33.65,0.0
,6.0,,,,10-30-2023,13995.59,13995.59,0.0
,7.0,,,,10-30-2023,2350.0,2350.0,0.0
,8.0,,,,10-30-2023,1804.167,1805.439,15400.0
,9.0,,,,10-30-2023,2200.1,2200.1,100.0
,10.0,,,,10-30-2023,475.9502,475.9502,0.0
,11.0,,,,10-30-2023,2602.592,2606.54,194800.0
,12.0,,,,10-30-2023,138.5127,137.9942,20600.0
,13.0,,,,10-30-2023,501.5302,498.8537,2659100.0
,14.0,,,,10-30-2023,95.8083,95.3568,6600.0
,15.0,,,,10-30-2023,750.0466,756.75,800.0
,16.0,,,,10-30-2023,150.0,150.0,0.0
,17.0,,,,10-30-2023,585.0,585.0,800.0
,18.0,,,,10-30-2023,137.1,137.1,0.0
,19.0,,,,10-30-2023,11.353,11.353,0.0
,20.0,,,,10-30-2023,1892.53,1892.53,0.0
,21.0,,,,10-30-2023,125.0477,125.4167,600.0
,22.0,,,,10-30-2023,800.0,800.0,0.0
,23.0,,,,10-30-2023,966.1901,999.7854,17100.0
,24.0,,,,10-30-2023,345.6667,336.5714,700.0
,25.0,,,,10-30-2023,24.7,24.7,0.0
,26.0,,,,10-30-2023,300.05,300.05,0.0
,27.0,,,,10-30-2023,150.168,145.9316,1914700.0
,28.0,,,,10-30-2023,611.5,611.5,0.0
,29.0,,,,10-30-2023,133.3585,135.0,1000.0
,30.0,,,,10-30-2023,690.0,690.0,0.0
,31.0,,,,10-30-2023,740.0,841.0,6300.0
,32.0,,,,10-30-2023,4.9817,4.9758,44300.0
,33.0,,,,10-30-2023,950.0101,950.0101,0.0
,34.0,,,,10-30-2023,35.0,35.0,15500.0
,35.0,,,,10-30-2023,517.9,517.9,0.0
,36.0,,,,10-30-2023,25.5,25.5,4100.0
,37.0,,,,10-30-2023,258.0,258.0,0.0
,38.0,,,,10-30-2023,18.0,20.7,3000.0
,39.0,,,,10-30-2023,790.0,850.0,300.0
,40.0,,,,10-30-2023,0.0331,0.0331,0.0
,41.0,,,,10-30-2023,16.65,16.65,0.0
,42.0,,,,10-30-2023,106.6667,100.0,11400.0
,1.0,,,,12-15-2023,2600.0,0.0,100.0
,2.0,,,,12-15-2023,64.0,0.0,0.0
,3.0,,,,12-15-2023,40.0,0.0,0.0
,4.0,,,,12-15-2023,17.0,0.0,0.0
,5.0,,,,12-15-2023,33.65,0.0,0.0
,6.0,,,,12-15-2023,12985.0,0.0,0.0
,7.0,,,,12-15-2023,2909.5,0.0,0.0
,8.0,,,,12-15-2023,2760.049,0.0486,81400.0
,9.0,,,,12-15-2023,1900.0,0.0,0.0
,10.0,,,,12-15-2023,624.0,0.0,26800.0
,11.0,,,,12-15-2023,3421.391,-72.5309,354800.0
,12.0,,,,12-15-2023,120.2874,-19.2812,1379000.0
,13.0,,,,12-15-2023,708.7512,-10.5556,108900.0
,14.0,,,,12-15-2023,90.0,0.0,0.0
,15.0,,,,12-15-2023,937.8193,-13.4357,746300.0
,16.0,,,,12-15-2023,235.0,0.0,0.0
,17.0,,,,12-15-2023,1049.95,0.0,0.0
,18.0,,,,12-15-2023,276.0,0.0,0.0
,19.0,,,,12-15-2023,22.8,0.0,4800.0
,20.0,,,,12-15-2023,1857.17,2.1698,10600.0
,21.0,,,,12-15-2023,143.0,0.0,0.0
,22.0,,,,12-15-2023,810.0,0.0,18200.0
,23.0,,,,12-15-2023,1300.0,0.0,0.0
,24.0,,,,12-15-2023,295.0,-3.0,500.0
,25.0,,,,12-15-2023,24.7,0.0,0.0
,26.0,,,,12-15-2023,577.3,0.0,0.0
,27.0,,,,12-15-2023,195.1139,-0.1239,126000.0
,28.0,,,,12-15-2023,594.5473,-11.3535,1995700.0
,29.0,,,,12-15-2023,156.0,0.0,0.0
,30.0,,,,12-15-2023,800.0,0.0,0.0
,31.0,,,,12-15-2023,801.4797,-11.5744,36900.0
,32.0,,,,12-15-2023,4.7876,-0.0017,72400.0
,33.0,,,,12-15-2023,956.5253,0.0,0.0
,34.0,,,,12-15-2023,38.0,0.0,0.0
,35.0,,,,12-15-2023,1100.0,0.0,0.0
,36.0,,,,12-15-2023,34.8345,8.8345,35100.0
,37.0,,,,12-15-2023,250.0,0.0,200.0
,38.0,,,,12-15-2023,46.0,6.0,5200.0
,39.0,,,,12-15-2023,850.0,0.0,0.0
,40.0,,,,12-15-2023,0.04,0.0,0.0
,41.0,,,,12-15-2023,32.2,0.0,0.0
,42.0,,,,12-15-2023,180.0,-2.5508,1400.0
,1.0,,,,05-03-2024,220.25,100.0,22025.0
,2.0,,,,05-03-2024,9.02,0.0,0.0
,3.0,,,,05-03-2024,4.8,13100.0,62880.0
,4.0,,,,05-03-2024,1.4007,0.0,0.0
,5.0,,,,05-03-2024,1.3207,0.0,0.0
,6.0,,,,05-03-2024,2601.0,100.0,260100.0
,7.0,,,,05-03-2024,621.3121,0.0,0.0
,8.0,,,,05-03-2024,360.0,2900.0,1044000.0
,9.0,,,,05-03-2024,130.05,0.0,0.0
,10.0,,,,05-03-2024,90.2,1200.0,108240.0
,11.0,,,,05-03-2024,710.739,32400.0,23027950.0
,12.0,,,,05-03-2024,28.6565,4600.0,131820.0
,13.0,,,,05-03-2024,140.3564,19600.0,2750985.0
,14.0,,,,05-03-2024,192.0,0.0,0.0
,15.0,,,,05-03-2024,50.6,0.0,0.0
,16.0,,,,05-03-2024,226.0,0.0,0.0
,17.0,,,,05-03-2024,31.85,0.0,0.0
